time,ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint
0.0,-2.7713358402252197,-2.3488078117370605,-2.2953736782073975,-1.9662593603134155,-1.2188048362731934,0.11650532484054565
1.0,-2.770251214504242,-2.346135417620341,-2.292184074719747,-1.9827955067157745,-1.2191834648450215,0.12056412547826767
2.0,-2.769166588783264,-2.3434630235036216,-2.288994471232096,-1.9993316531181335,-1.2195620934168498,0.12462292611598969
3.0,-2.7680819630622864,-2.340790629386902,-2.285804867744446,-2.0158677995204926,-1.219940721988678,0.1286817267537117
4.0,-2.7669973373413086,-2.338118235270182,-2.2826152642567954,-2.0324039459228516,-1.220319350560506,0.13274052739143372
5.0,-2.765912711620331,-2.335445841153463,-2.2794256607691445,-2.0489400923252106,-1.2206979791323345,0.13679932802915573
6.0,-2.764828085899353,-2.332773447036743,-2.276236057281494,-2.0654762387275696,-1.2210766077041626,0.14085812866687775
7.0,-2.7637434601783752,-2.3301010529200235,-2.2730464537938437,-2.0820123851299286,-1.2214552362759907,0.14491692930459976
8.0,-2.7626588344573975,-2.327428658803304,-2.269856850306193,-2.0985485315322876,-1.221833864847819,0.14897572994232178
9.0,-2.7615742087364197,-2.3247562646865845,-2.2666672468185425,-2.1150846779346466,-1.2222124934196472,0.1530345305800438
10.0,-2.760489583015442,-2.3220838705698648,-2.263477643330892,-2.1316208243370056,-1.2225911219914753,0.1570933312177658
11.0,-2.759404957294464,-2.3194114764531455,-2.2602880398432412,-2.1481569707393646,-1.2229697505633037,0.16115213185548782
12.0,-2.7583203315734863,-2.316739082336426,-2.257098436355591,-2.1646931171417236,-1.2233483791351318,0.16521093249320984
13.0,-2.7583203315734863,-2.316739082336426,-2.257098436355591,-2.1646931171417236,-1.2233483791351318,0.16521093249320984
14.0,-2.758618950843811,-2.313173294067383,-2.2546412348747253,-2.173897385597229,-1.2392953038215637,0.15904659032821655
15.0,-2.7589175701141357,-2.30960750579834,-2.25218403339386,-2.1831016540527344,-1.2552422285079956,0.15288224816322327
16.0,-2.7592161893844604,-2.306041717529297,-2.2497268319129944,-2.1923059225082397,-1.2711891531944275,0.14671790599822998
17.0,-2.759514808654785,-2.302475929260254,-2.247269630432129,-2.201510190963745,-1.2871360778808594,0.1405535638332367
18.0,-2.759514808654785,-2.302475929260254,-2.247269630432129,-2.201510190963745,-1.2871360778808594,0.1405535638332367
19.0,-2.7655718008677166,-2.3023221174875896,-2.24757080078125,-2.197516902287801,-1.3041685024897258,0.13200038075447082
20.0,-2.7716287930806476,-2.302168305714925,-2.247871971130371,-2.193523613611857,-1.321200927098592,0.12344719767570496
21.0,-2.777685785293579,-2.3020144939422607,-2.248173141479492,-2.1895303249359133,-1.3382333517074585,0.11489401459693908
22.0,-2.7837427775065104,-2.3018606821695964,-2.2484743118286135,-2.185537036259969,-1.355265776316325,0.10634083151817322
23.0,-2.789799769719442,-2.301706870396932,-2.2487754821777344,-2.181543747584025,-1.3722982009251912,0.09778764843940735
24.0,-2.795856761932373,-2.3015530586242674,-2.2490766525268553,-2.177550458908081,-1.3893306255340576,0.08923446536064147
25.0,-2.8019137541453043,-2.301399246851603,-2.2493778228759767,-2.173557170232137,-1.406363050142924,0.0806812822818756
26.0,-2.8079707463582357,-2.301245435078939,-2.2496789932250976,-2.169563881556193,-1.4233954747517903,0.07212809920310974
27.0,-2.814027738571167,-2.3010916233062746,-2.249980163574219,-2.165570592880249,-1.4404278993606567,0.06357491612434388
28.0,-2.820084730784098,-2.30093781153361,-2.25028133392334,-2.161577304204305,-1.4574603239695232,0.055021733045578
29.0,-2.8261417229970296,-2.3007839997609456,-2.2505825042724608,-2.157584015528361,-1.4744927485783894,0.04646854996681214
30.0,-2.832198715209961,-2.3006301879882813,-2.250883674621582,-2.153590726852417,-1.4915251731872559,0.037915366888046254
31.0,-2.8382557074228925,-2.300476376215617,-2.251184844970703,-2.149597438176473,-1.5085575977961223,0.029362183809280393
32.0,-2.8443126996358234,-2.3003225644429524,-2.2514860153198244,-2.145604149500529,-1.5255900224049885,0.020809000730514518
33.0,-2.850369691848755,-2.300168752670288,-2.2517871856689453,-2.141610860824585,-1.542622447013855,0.012255817651748657
34.0,-2.850369691848755,-2.300168752670288,-2.2517871856689453,-2.141610860824585,-1.542622447013855,0.012255817651748657
35.0,-2.8477977200558313,-2.3034844398498535,-2.253968590184262,-2.1243434077815007,-1.5264907887107448,0.014872999371666657
36.0,-2.8452257482629073,-2.306800127029419,-2.2561499946995784,-2.1070759547384164,-1.5103591304076345,0.017490181091584657
37.0,-2.8426537764699837,-2.3101158142089844,-2.258331399214895,-2.0898085016953316,-1.4942274721045243,0.020107362811502657
38.0,-2.8400818046770597,-2.31343150138855,-2.2605128037302116,-2.0725410486522473,-1.4780958138014142,0.022724544531420657
39.0,-2.837509832884136,-2.3167471885681152,-2.2626942082455286,-2.055273595609163,-1.4619641554983038,0.025341726251338657
40.0,-2.834937861091212,-2.3200628757476807,-2.264875612760845,-2.0380061425660787,-1.4458324971951937,0.027958907971256657
41.0,-2.8323658892982886,-2.323378562927246,-2.2670570172761617,-2.0207386895229944,-1.4297008388920833,0.030576089691174656
42.0,-2.8297939175053646,-2.3266942501068115,-2.2692384217914783,-2.0034712364799097,-1.4135691805889732,0.033193271411092656
43.0,-2.827221945712441,-2.330009937286377,-2.271419826306795,-1.9862037834368254,-1.397437522285863,0.03581045313101065
44.0,-2.824649973919517,-2.3333256244659424,-2.2736012308221114,-1.968936330393741,-1.3813058639827527,0.038427634850928656
45.0,-2.8220780021265934,-2.336641311645508,-2.275782635337428,-1.9516688773506565,-1.3651742056796425,0.04104481657084666
46.0,-2.8195060303336694,-2.3399569988250732,-2.2779640398527445,-1.9344014243075722,-1.3490425473765324,0.043661998290764656
47.0,-2.816934058540746,-2.3432726860046387,-2.280145444368061,-1.917133971264488,-1.332910889073422,0.04627918001068265
